"","X","year","EU","country","avgIGO","fdi","income","incomeGrowth","loan","polity","pop","rank","corruptControl","stateFragility","elecDem","interact","income.f","polity.f","loan.f"
"1","1",2006,0,"United States of America (the)",95,2.154051781,10.83007717,0.001588089,0,10,2988.60519,11,1.353315949,34.5,0.845,0.015880894,"High","Democratic","No Debt"
"2","2",2007,0,"United States of America (the)",95,2.394127131,10.83839607,0.000768129,0,10,3016.55953,12,1.385467052,33.6,0.896,0.007681294,"High","Democratic","No Debt"
"3","3",2008,0,"United States of America (the)",95,2.317424297,10.8261795,-0.001127156,0,10,3044.73143,12,1.450212002,32.8,0.899,-0.011271564,"High","Democratic","No Debt"
"4","4",2009,0,"United States of America (the)",95,1.117178082,10.78901196,-0.003433118,0,10,3072.31961,13,1.294352055,34,0.899,-0.03433118,"High","Democratic","No Debt"
"5","5",2010,0,"United States of America (the)",95,1.764450908,10.80544567,0.00152319,0,10,3098.7617,11,1.271479011,35.3,0.907,0.015231901,"High","Democratic","No Debt"
"6","6",2011,0,"United States of America (the)",95,1.698016882,10.8132534,0.000722574,0,10,3123.90368,13,1.269101024,34.8,0.934,0.007225738,"High","Democratic","No Debt"
"7","7",2012,0,"United States of America (the)",95,1.549619555,10.8275671,0.001323718,0,10,3147.99465,14,1.410719991,34.8,0.937,0.01323718,"High","Democratic","No Debt"
"8","8",2006,0,"Canada",97,4.888360977,10.63997555,0.001405239,0,10,326.11436,13,1.962553978,23.1,0.869,0.014052387,"High","Democratic","No Debt"
"9","9",2007,0,"Canada",97,8.220132828,10.64855289,0.000806143,0,10,329.82275,13,2.00090003,25.1,0.82,0.008061434,"High","Democratic","No Debt"
"10","10",2008,0,"Canada",97,4.526210785,10.64875317,1.88e-05,0,10,333.63256,13,2.002688885,26.3,0.83,0.000188074,"High","Democratic","No Debt"
"11","11",2009,0,"Canada",97,1.526554585,10.60984135,-0.00365412,0,10,337.46559,11,2.061789036,27.7,0.88,-0.036541197,"High","Democratic","No Debt"
"12","12",2010,0,"Canada",97,1.841558814,10.63184071,0.002073486,0,10,341.26173,12,2.069798946,27.9,0.861,0.020734861,"High","Democratic","No Debt"
"13","13",2011,0,"Canada",97,2.142292261,10.65011978,0.001719277,0,10,344.99905,12,1.977882981,27.7,0.879,0.017192766,"High","Democratic","No Debt"
"14","14",2012,0,"Canada",97,2.706688404,10.65854931,0.000791496,0,10,348.68151,13,1.927135944,26.8,0.889,0.00791496,"High","Democratic","No Debt"
"15","15",2006,0,"Dominican Republic (the)",61,4.010614872,9.203995705,0.0095444,1.175529599,8,93.71333,113,-0.700955391,85,0.662,0.076355204,"Moderately High","Democratic","Low Debt"
"16","16",2007,0,"Dominican Republic (the)",61,5.100557804,9.271249771,0.007307051,1.090718865,8,95.04336,113,-0.747673988,80.6,0.661,0.05845641,"Moderately High","Democratic","Low Debt"
"17","17",2008,0,"Dominican Republic (the)",61,5.65015173,9.288393974,0.001849179,0.948866844,8,96.36491,111,-0.725965321,78.4,0.661,0.014793434,"Moderately High","Democratic","Low Debt"
"18","18",2009,0,"Dominican Republic (the)",61,3.504383564,9.284180641,-0.000453613,1.563091874,8,97.67737,116,-0.778066576,77.7,0.661,-0.003628901,"Moderately High","Democratic","Low Debt"
"19","19",2010,0,"Dominican Republic (the)",61,3.371809244,9.350688934,0.007163615,1.614728451,8,98.97983,117,-0.843630075,76.8,0.665,0.057308916,"Moderately High","Democratic","Low Debt"
"20","20",2011,0,"Dominican Republic (the)",61,3.801167727,9.365543365,0.001588592,1.484309793,8,100.2714,111,-0.812097371,76.9,0.662,0.012708738,"Moderately High","Democratic","Low Debt"
"21","21",2012,0,"Dominican Republic (the)",61,5.631429195,9.378824234,0.001418056,1.509738684,8,101.55036,110,-0.859959781,74.1,0.654,0.011344451,"Moderately High","Democratic","Low Debt"
"22","22",2006,0,"Jamaica",60,7.07522583,8.932085991,0.002641067,3.250196695,9,26.91444,86,-0.25682199,66.8,0.791,0.023769604,"Moderately Low","Democratic","High Debt"
"23","23",2007,0,"Jamaica",60,6.331069946,8.94154644,0.001059153,2.805507898,9,27.04606,89,-0.297688395,65.1,0.803,0.00953238,"Moderately Low","Democratic","High Debt"
"24","24",2008,0,"Jamaica",60,10.06390953,8.929598808,-0.001336193,2.391325474,9,27.17344,91,-0.295590401,65.7,0.81,-0.012025737,"Moderately Low","Democratic","High Debt"
"25","25",2009,0,"Jamaica",60,4.029998302,8.879846573,-0.005571609,3.307805061,9,27.29575,108,-0.284784108,68.6,0.786,-0.050144486,"Moderately Low","Democratic","High Debt"
"26","26",2010,0,"Jamaica",60,1.408282399,8.860575676,-0.002170183,4.38588953,9,27.41253,111,-0.231325001,67.4,0.781,-0.01953165,"Moderately Low","Democratic","High Debt"
"27","27",2011,0,"Jamaica",60,1.196386695,8.87361908,0.001472072,4.63138628,9,27.52358,108,-0.1624448,67.1,0.781,0.013248647,"Moderately Low","Democratic","High Debt"
"28","28",2012,0,"Jamaica",60,2.79276228,8.863718987,-0.001115677,4.453943253,9,27.62965,107,-0.257782698,65.8,0.802,-0.010041093,"Moderately Low","Democratic","High Debt"
"29","29",2007,0,"Trinidad and Tobago",57,3.835081577,10.33214855,0.003794279,0,10,13.0926,4,-0.0433679,67.6,0.755,0.037942793,"High","Democratic","No Debt"
"30","30",2008,0,"Trinidad and Tobago",57,10.04942226,10.36084652,0.002777541,0,10,13.15372,4,-0.064396597,67,0.763,0.027775411,"High","Democratic","No Debt"
"31","31",2009,0,"Trinidad and Tobago",57,3.698006392,10.31119347,-0.004792374,0,10,13.21624,4,-0.041086901,66.7,0.757,-0.04792374,"High","Democratic","No Debt"
"32","32",2010,0,"Trinidad and Tobago",57,2.479471445,10.30537891,-0.000563907,0,10,13.28095,3,-0.173851103,66.1,0.782,-0.005639068,"High","Democratic","No Debt"
"33","33",2011,0,"Trinidad and Tobago",57,0.161394387,10.30042076,-0.000481123,0,10,13.3479,4,-0.109660998,63.7,0.794,-0.004811228,"High","Democratic","No Debt"
"34","34",2012,0,"Trinidad and Tobago",57,0,10.30891609,0.000824756,0,10,13.41579,4,-0.155371904,64.4,0.794,0.008247557,"High","Democratic","No Debt"
